model,rmse,nash_sutcliffe,kge
GammaUH,0.11845861598884537,-0.04732462155051183,-0.09740269823776855
NashUH,0.23070984917958753,-0.8706549217131954,-0.7868612934975505
TriangleUH,0.11852563494645177,0.06696584078983396,0.016854838472851696
Ensemble (fast+slow Gamma),0.06614493737723438,0.3288801645090152,0.175017970284815
